datetime,time,shoreline,upper_ci,lower_ci
2018-06-14 11:55:00.887408,0.8788193005941896,52.46066164499618,53.24233166931206,51.6789916206803
2018-06-14 11:55:01.137408,1.1289859790037342,51.98690871846128,52.76857874277716,51.2052386941454
2018-06-14 11:55:01.387408,1.3791526574132789,51.43967638630179,52.22134641061767,50.65800636198591
2018-06-14 11:55:01.637408,1.6293193358228235,50.81696289190209,51.598632916217966,50.03529286758621
2018-06-14 11:55:01.887408,1.8794860142323677,50.136944087289706,50.918614111605585,49.35527406297383
2018-06-14 11:55:02.137408,2.1296526926419124,49.447555767884324,50.229225792200204,48.665885743568445
2018-06-14 11:55:02.387408,2.379819371051457,48.7938180829571,49.57548810727298,48.01214805864122
2018-06-14 11:55:02.637408,2.6299860494610017,48.18866883944222,48.9703388637581,47.40699881512634
2018-06-14 11:55:02.887408,2.8801527278705463,47.61919653138593,48.40086655570181,46.83752650707005
2018-06-14 11:55:03.137408,3.130319406280091,47.059688722342315,47.841358746658194,46.278018698026436
2018-06-14 11:55:03.387408,3.380486084689635,46.48569033024553,47.26736035456141,45.70402030592965
2018-06-14 11:55:03.637408,3.63065276309918,45.89585932488394,46.67752934919982,45.114189300568064
2018-06-14 11:55:03.887408,3.8808194415087245,45.31407936691274,46.09574939122862,44.532409342596864
2018-06-14 11:55:04.137408,4.130986119918269,44.75848309441389,45.54015311872977,43.97681307009801
2018-06-14 11:55:04.387408,4.381152798327814,44.22383554488088,45.00550556919676,43.442165520565
2018-06-14 11:55:04.637408,4.631319476737358,43.69951837295217,44.48118839726805,42.91784834863629
2018-06-14 11:55:04.887408,4.881486155146903,43.1868004983618,43.96847052267768,42.40513047404592
2018-06-14 11:55:05.137408,5.131652833556448,42.69389911954755,43.47556914386343,41.91222909523167
2018-06-14 11:55:05.387408,5.381819511965992,42.22215133849042,43.0038213628063,41.44048131417454
2018-06-14 11:55:05.637408,5.631986190375537,41.761349234193496,42.543019258509375,40.97967920987762
2018-06-14 11:55:05.887408,5.882152868785082,41.30085879211101,42.08252881642689,40.51918876779513
2018-06-14 11:55:06.137408,6.132319547194626,40.84321682117428,41.62488684549016,40.0615467968584
2018-06-14 11:55:06.387408,6.38248622560417,40.39962554977467,41.18129557409055,39.61795552545879
2018-06-14 11:55:06.637408,6.632652904013715,39.97633010732299,40.758000131638866,39.19466008300711
2018-06-14 11:55:06.887408,6.882819582423259,39.57429876127516,40.35596878559104,38.79262873695928
2018-06-14 11:55:07.137408,7.132986260832804,39.193342504531614,39.97501252884749,38.411672480215735
2018-06-14 11:55:07.387408,7.383152939242349,38.82578446674526,39.60745449106114,38.04411444242938
2018-06-14 11:55:07.637408,7.633319617651893,38.45193526118284,39.23360528549872,37.67026523686696
2018-06-14 11:55:07.887408,7.883486296061438,38.05612580598856,38.83779583030444,37.27445578167268
2018-06-14 11:55:08.137408,8.133652974470984,37.657743178279546,38.439413202595425,36.87607315396367
2018-06-14 11:55:08.387408,8.383819652880527,37.3114824171587,38.09315244147458,36.52981239284282
2018-06-14 11:55:08.637408,8.633986331290071,37.05683700143889,37.83850702575477,36.275166977123014
2018-06-14 11:55:08.887408,8.884153009699617,36.89043028288775,37.67210030720363,36.10876025857187
2018-06-14 11:55:09.137408,9.13431968810916,36.78848201192608,37.57015203624196,36.0068119876102
2018-06-14 11:55:09.387408,9.384486366518706,36.73018062411708,37.51185064843296,35.9485105998012
2018-06-14 11:55:09.637408,9.63465304492825,36.702527173177806,37.484197197493685,35.92085714886193
2018-06-14 11:55:09.887408,9.884819723337795,36.69606962600312,37.477739650319,35.91439960168724
2018-06-14 11:55:10.137408,10.134986401747339,36.70255401415752,37.4842240384734,35.92088398984164
2018-06-14 11:55:10.387408,10.385153080156885,36.71652219637437,37.49819222069025,35.93485217205849
2018-06-14 11:55:10.637408,10.635319758566428,36.735594347506165,37.517264371822044,35.953924323190286
2018-06-14 11:55:10.887408,10.885486436975974,36.75878887278496,37.54045889710084,35.97711884846908
2018-06-14 11:55:11.137408,11.135653115385518,36.7852079130768,37.56687793739268,36.003537888760924
2018-06-14 11:55:11.387408,11.385819793795063,36.813640145018944,37.59531016933482,36.031970120703065
2018-06-14 11:55:11.637408,11.635986472204607,36.84315095330845,37.62482097762433,36.06148092899257
2018-06-14 11:55:11.887408,11.886153150614152,36.874418433291574,37.65608845760745,36.092748408975694
2018-06-14 11:55:12.137408,12.136319829023696,36.91014897439182,37.691818998707696,36.12847895007594
2018-06-14 11:55:12.387408,12.38648650743324,36.952840469683004,37.73451049399888,36.171170445367125
2018-06-14 11:55:12.637408,12.636653185842786,37.00105411489436,37.78272413921024,36.21938409057848
2018-06-14 11:55:12.887408,12.88681986425233,37.050237633001174,37.83190765731705,36.268567608685295
2018-06-14 11:55:13.137408,13.136986542661875,37.09871174869846,37.88038177301434,36.317041724382584
2018-06-14 11:55:13.387408,13.387153221071419,37.14887076851648,37.93054079283236,36.3672007442006
2018-06-14 11:55:13.637408,13.637319899480964,37.20253118818024,37.98420121249612,36.42086116386436
2018-06-14 11:55:13.887408,13.887486577890508,37.25875761151326,38.04042763582914,36.47708758719738
2018-06-14 11:55:14.137408,14.137653256300053,37.31735374686298,38.09902377117886,36.5356837225471
2018-06-14 11:55:14.387408,14.387819934709597,37.381792559146945,38.163462583462824,36.600122534831065
2018-06-14 11:55:14.637408,14.637986613119143,37.45516485940829,38.23683488372417,36.67349483509241
2018-06-14 11:55:14.887408,14.888153291528686,37.533545018846084,38.31521504316196,36.751874994530205
