datetime,time,shoreline,upper_ci,lower_ci
2017-11-02 09:40:00.997579,1.018897534922576,75.49777037213599,77.35520334341135,73.64033740086063
2017-11-02 09:40:01.097579,1.1189072899862536,75.38148349804642,77.23891646932178,73.52405052677106
2017-11-02 09:40:01.197579,1.2189170450499311,75.25418508836134,77.1116180596367,73.39675211708598
2017-11-02 09:40:01.297579,1.3189268001136085,75.1160124337114,76.97344540498676,73.25857946243605
2017-11-02 09:40:01.397579,1.4189365551772863,74.96763918686176,76.82507215813712,73.1102062155864
2017-11-02 09:40:01.497579,1.5189463102409637,74.81030648194941,76.66773945322477,72.95287351067405
2017-11-02 09:40:01.597579,1.618956065304641,74.64573203495529,76.50316500623065,72.78829906367993
2017-11-02 09:40:01.697579,1.718965820368319,74.47589341976655,76.33332639104191,72.61846044849119
2017-11-02 09:40:01.797579,1.8189755754319963,74.30273172487477,76.16016469615013,72.44529875359942
2017-11-02 09:40:01.897579,1.9189853304956737,74.12786061329324,75.9852935845686,72.27042764201788
2017-11-02 09:40:01.997579,2.0189950855593515,73.95237118337315,75.8098041546485,72.09493821209779
2017-11-02 09:40:02.097579,2.119004840623029,73.77679302784927,75.63422599912462,71.91936005657391
2017-11-02 09:40:02.197579,2.2190145956867062,73.60122548578872,75.45865845706408,71.74379251451336
2017-11-02 09:40:02.297579,2.319024350750384,73.42561219481584,75.2830451660912,71.56817922354048
2017-11-02 09:40:02.397579,2.4190341058140614,73.25010333393442,75.10753630520978,71.39267036265906
2017-11-02 09:40:02.497579,2.519043860877739,73.07542465741889,74.93285762869425,71.21799168614353
2017-11-02 09:40:02.597579,2.6190536159414166,72.90314508917902,74.76057806045438,71.04571211790366
2017-11-02 09:40:02.697579,2.719063371005094,72.73572312778369,74.59315609905904,70.87829015650833
2017-11-02 09:40:02.797579,2.8190731260687714,72.57625362061071,74.43368659188607,70.71882064933536
2017-11-02 09:40:02.897579,2.919082881132449,72.42794665661533,74.28537962789069,70.57051368533998
2017-11-02 09:40:02.997579,3.0190926361961266,72.29350121553036,74.15093418680571,70.436068244255
2017-11-02 09:40:03.097579,3.119102391259804,72.17459361969412,74.03202659096948,70.31716064841876
2017-11-02 09:40:03.197579,3.2191121463234817,72.0716313950348,73.92906436631016,70.21419842375944
2017-11-02 09:40:03.297579,3.319121901387159,71.98377336648517,73.84120633776053,70.12634039520981
2017-11-02 09:40:03.397579,3.4191316564508365,71.90908594724974,73.7665189185251,70.05165297597438
2017-11-02 09:40:03.497579,3.5191414115145143,71.84465245755086,73.70208542882622,69.9872194862755
2017-11-02 09:40:03.597579,3.6191511665781917,71.7864664460742,73.64389941734956,69.92903347479884
2017-11-02 09:40:03.697579,3.719160921641869,71.72899554018187,73.58642851145723,69.87156256890651
2017-11-02 09:40:03.797579,3.819170676705547,71.66444548077187,73.52187845204723,69.80701250949652
2017-11-02 09:40:03.897579,3.9191804317692243,71.58218574870784,73.4396187199832,69.72475277743249
2017-11-02 09:40:03.997579,4.019190186832902,71.46979536569884,73.3272283369742,69.61236239442349
2017-11-02 09:40:04.097579,4.1191999418965795,71.31818417119877,73.17561714247412,69.46075119992341
2017-11-02 09:40:04.197579,4.219209696960257,71.13085699382088,72.98828996509624,69.27342402254553
2017-11-02 09:40:04.297579,4.319219452023934,70.92877160922552,72.78620458050088,69.07133863795016
2017-11-02 09:40:04.397579,4.4192292070876125,70.73989843626752,72.59733140754288,68.88246546499217
2017-11-02 09:40:04.497579,4.51923896215129,70.58135822361524,72.4387911948906,68.72392525233988
2017-11-02 09:40:04.597579,4.619248717214967,70.45331040177258,72.31074337304794,68.59587743049723
2017-11-02 09:40:04.697579,4.719258472278645,70.34567901495265,72.20311198622801,68.4882460436773
2017-11-02 09:40:04.797579,4.819268227342322,70.24606674699503,72.10349971827038,68.38863377571967
2017-11-02 09:40:04.897579,4.919277982405999,70.14335434887482,72.00078732015018,68.28592137759946
2017-11-02 09:40:04.997579,5.019287737469677,70.02813020240279,71.88556317367815,68.17069723112743
2017-11-02 09:40:05.097579,5.119297492533355,69.89203649818319,71.74946946945855,68.03460352690783
2017-11-02 09:40:05.197579,5.219307247597032,69.72713612485988,71.58456909613524,67.86970315358452
2017-11-02 09:40:05.297579,5.31931700266071,69.52571124948199,71.38314422075734,67.66827827820663
2017-11-02 09:40:05.397579,5.419326757724387,69.28065119044506,71.13808416172041,67.4232182191697
2017-11-02 09:40:05.497579,5.5193365127880645,68.98648229773033,70.84391526900569,67.12904932645498
2017-11-02 09:40:05.597579,5.619346267851742,68.64091712339807,70.49835009467343,66.78348415212271
2017-11-02 09:40:05.697579,5.71935602291542,68.24647266757009,70.10390563884545,66.38903969629473
2017-11-02 09:40:05.797579,5.8193657779790975,67.81135244949168,69.66878542076704,65.95391947821632
2017-11-02 09:40:05.897579,5.919375533042775,67.3487584094963,69.20619138077166,65.49132543822094
2017-11-02 09:40:05.997579,6.019385288106452,66.87441513098238,68.73184810225774,65.01698215970703
2017-11-02 09:40:06.097579,6.11939504317013,66.40313605788033,68.26056902915569,64.54570308660497
2017-11-02 09:40:06.197579,6.219404798233807,65.9459228627073,67.80335583398266,64.08848989143195
2017-11-02 09:40:06.297579,6.319414553297485,65.50873846273154,67.3661714340069,63.651305491456185
2017-11-02 09:40:06.397579,6.419424308361163,65.09305146225536,66.95048443353072,63.23561849098
2017-11-02 09:40:06.497579,6.51943406342484,64.69740206671827,66.55483503799363,62.83996909544291
2017-11-02 09:40:06.597579,6.619443818488517,64.31907954089773,66.17651251217309,62.461646569622374
