,time,intersection,surfzone_position,shoreline_position,n_waves,wave_id
0,19.39822457255219,30.49216415974046,137.50617032782665,30.805542157406485,43.0,0.0
1,39.6266060329924,30.660673676232214,140.71454591035865,29.689897660950784,43.0,3.0
2,121.58320099416282,28.50039604690697,148.22849649476862,26.78696041490349,43.0,14.0
3,135.50296473396472,27.154516268884674,146.24188189287383,28.224696888461146,43.0,15.0
4,157.0872218550687,23.238155113936035,122.1650885814648,22.634074346825294,43.0,17.0
5,174.37275845432148,26.812794190995728,133.10248775109352,26.3607372644799,43.0,19.0
6,174.37275845432148,26.812794190995728,133.10248775109352,26.3607372644799,43.0,20.0
7,189.31043950503954,32.278773100529165,116.49226085215113,31.675201871662395,43.0,22.0
8,189.31043950503954,32.278773100529165,116.49226085215113,31.675201871662395,43.0,24.0
9,247.55361363435276,24.242872347939905,145.8220820373295,23.410286136635097,43.0,31.0
10,248.92364904457048,24.31499157105187,145.05772548943563,21.088823083729974,43.0,31.0
11,295.9178225484644,56.793177826736965,121.97716704830302,23.185267716440734,43.0,42.0
