,time,intersection,surfzone_position,shoreline_position,n_waves,wave_id
0,27.1798216177512,189.1424075595034,276.0883606989265,122.60483067048813,34.0,3.0
1,57.35791254721074,111.52317453396878,228.70642753663577,94.23225847302129,34.0,6.0
2,70.48685297725002,57.775157874650475,213.37314127906612,57.166931573127066,34.0,7.0
3,89.61008748664503,99.96245921821912,246.1179017332029,33.28147492290762,34.0,10.0
4,89.61008748664503,99.96245921821912,246.1179017332029,33.28147492290762,34.0,11.0
5,107.34208805701748,148.0228612722822,254.19605901498346,70.6168073128046,34.0,12.0
6,107.34208805701748,148.0228612722822,254.19605901498346,70.6168073128046,34.0,13.0
7,123.595521644331,142.31068308381606,245.15399816270687,113.4843408654546,34.0,14.0
8,165.5979378213408,155.67075800532575,258.7702209165348,62.48218591163987,34.0,18.0
9,165.5979378213408,155.67075800532575,258.7702209165348,62.48218591163987,34.0,19.0
10,172.55422863517668,205.19099250475426,269.56589833266753,63.03097950305699,34.0,20.0
11,172.55422863517668,205.19099250475426,269.56589833266753,63.03097950305699,34.0,21.0
12,191.6440740333863,131.87300749684167,242.261438296934,128.519015867598,34.0,21.0
13,192.21641069760082,131.84220683414395,241.36034536399694,127.13445461085882,34.0,21.0
14,191.6440740333863,131.87300749684167,242.261438296934,128.519015867598,34.0,22.0
15,210.9172127225896,215.38394348974293,240.32173416679714,49.42943761541131,34.0,25.0
16,234.8873353642067,75.21142685471378,243.81326508014178,66.02790019247428,34.0,26.0
17,234.8873353642067,75.21142685471378,243.81326508014178,66.02790019247428,34.0,27.0
18,258.6341254313195,95.02854947866574,237.92020883427202,92.40718156553484,34.0,28.0
19,258.63412543131943,95.02854947866574,237.92020883427202,92.40718156553484,34.0,29.0
