,time,intersection,surfzone_position,shoreline_position,n_waves,wave_id
0,95.33330114941897,37.6436869112877,78.19474142756845,34.54576116565324,38.0,10.0
1,95.33330114941897,37.6436869112877,78.19474142756845,34.54576116565324,38.0,11.0
2,110.36425742797013,36.25527117947389,79.22396376374284,26.93552540167646,38.0,12.0
3,110.36425742797013,36.25527117947389,79.22396376374284,26.93552540167646,38.0,13.0
4,121.857037085579,25.079500701922672,77.78482151332642,23.853199227449622,38.0,14.0
5,151.40542527538457,30.855272853816473,64.15515876910199,29.722624498122297,38.0,18.0
6,168.30804443832056,29.15843848372029,55.532578991786544,28.113137236625256,38.0,21.0
7,214.54580304730894,19.04156308959661,89.68842476404123,18.721905867303782,38.0,26.0
8,233.26166515427346,30.853570764307253,85.55810775749951,29.498454246433656,38.0,29.0
9,233.26166515427346,30.853570764307253,85.55810775749951,29.498454246433656,38.0,30.0
