,x,z
0,148.1540513855552,-2.414403841185327
1,146.65754581600413,-2.3792302959539393
2,145.16104024645307,-2.326944196159567
3,143.664534676902,-2.2697074691745396
4,142.16802910735095,-2.21492594688132
5,140.67152353779989,-2.187334417624201
6,139.17501796824882,-2.1549867260425
7,137.67851239869776,-2.1027471509147944
8,136.1820068291467,-2.1025420138748023
9,134.68550125959564,-2.0607512356440343
10,133.18899569004455,-2.0406356383324855
11,131.6924901204935,-2.000319933869874
12,130.19598455094243,-1.9759658203573784
13,128.69947898139137,-1.9593165837956348
14,127.20297341184032,-1.9262562628455622
15,125.70646784228926,-1.8958747688187103
16,124.20996227273818,-1.8701434347216224
17,122.71345670318712,-1.8561820166872098
18,121.21695113363606,-1.846054473660688
19,119.720445564085,-1.828607692501674
20,118.22393999453394,-1.8076970385843445
21,116.72743442498287,-1.7890203612421798
22,115.23092885543181,-1.774249102821758
23,113.73442328588075,-1.7665033885418486
24,112.23791771632969,-1.760919258959743
25,110.74141214677863,-1.7430402853075924
26,109.24490657722757,-1.7314974410412127
27,107.7484010076765,-1.7300837539996743
28,106.25189543812544,-1.7184573207911988
29,104.75538986857437,-1.7132817304161434
30,103.25888429902331,-1.7141378391876756
31,101.76237872947225,-1.7140943499545707
32,100.26587315992118,-1.7163273074061047
33,98.76936759037012,-1.7118429352659483
34,97.27286202081906,-1.7197453607771664
35,95.776356451268,-1.7337884151607508
36,94.27985088171694,-1.7415220511572072
37,92.78334531216588,-1.724852250799683
38,91.28683974261482,-1.667288808104513
39,89.79033417306375,-1.6176398839564292
40,88.2938286035127,-1.5724024219655321
41,86.79732303396163,-1.532982723225126
42,85.30081746441056,-1.5055580307865184
43,83.8043118948595,-1.4699072590755482
44,82.30780632530843,-1.4295691347970552
45,80.81130075575737,-1.391451990290647
46,79.31479518620631,-1.3498169055882256
47,77.81828961665525,-1.3197167200595965
48,76.32178404710419,-1.291473946819754
49,74.82527847755313,-1.2516048887891098
50,73.32877290800207,-1.206826251843998
51,71.832267338451,-1.1624666569065636
52,70.33576176889994,-1.1262277310932545
53,68.83925619934888,-1.0916496875419948
54,67.34275062979782,-1.0617793157508566
55,65.84624506024674,-1.0256074783283575
56,64.34973949069568,-0.9851363519962218
57,62.85323392114463,-0.9471120484226738
58,61.35672835159356,-0.9114573912892769
59,59.8602227820425,-0.8707272795036809
60,58.36371721249144,-0.8324517112140094
61,56.867211642940376,-0.7956305306989697
62,55.370706073389314,-0.7558060312879199
63,53.87420050383825,-0.7111931474557958
64,52.377694934287184,-0.6615995631257844
65,50.88118936473612,-0.6107339595082666
66,49.38468379518506,-0.5537533119491173
67,47.888178225634,-0.4940458948096663
68,46.39167265608293,-0.4339946311835661
69,44.89516708653187,-0.3749261035524226
70,43.39866151698081,-0.3104001393292409
71,41.90215594742975,-0.24859256821997386
72,40.405650377878686,-0.1766279236419658
73,38.909144808327625,-0.10621609722206712
74,37.41263923877656,-0.05738634338829874
75,35.9161336692255,0.010092150008042203
76,34.41962809967444,0.04874417106092655
77,32.92312253012338,0.10351048525591482
78,31.426616960572318,0.24026994549861366
79,29.930111391021256,0.3545384181098413
80,28.433605821470195,0.40609706247710586
81,26.937100251919134,0.4615264659310202
82,25.440594682368058,0.5107615167294448
83,23.944089112816997,0.5598040159856342
84,22.447583543265935,0.6208947031866152
85,20.951077973714874,0.6894286899079549
86,19.454572404163812,0.7581706240583777
87,17.95806683461275,0.8690638611224627
88,16.46156126506169,0.9348942117625704
89,14.965055695510628,1.0025098913976576
90,13.468550125959567,1.0595305619751503
91,11.972044556408505,1.1204502695102514
92,10.47553898685743,1.2031328009605327
93,8.979033417306368,1.2994674232127126
94,7.482527847755307,1.4194447094186873
95,5.986022278204246,1.5647097687669307
96,4.489516708653184,1.7406568798332287
97,2.993011139102123,1.9777355621192936
98,1.4965055695510614,2.232563043862857
99,0.0,2.3272090446545968
