,x,z
0,-35.0,-0.011548177860977258
1,-33.6396637044103,-0.019930486626845705
2,-32.27932740882061,-0.031156646542765794
3,-30.918991113230916,-0.04578181839260894
4,-29.558654817641223,-0.07121010608921216
5,-28.19831852205153,-0.1300842952070985
6,-26.837982226461833,-0.24606101125385305
7,-25.47764593087214,-0.38371701699228294
8,-24.117309635282446,-0.48632766874123173
9,-22.756973339692752,-0.5637547249187518
10,-21.39663704410306,-0.6614958365879416
11,-20.036300748513362,-0.8470199421904865
12,-18.67596445292367,-1.1859106409114313
13,-17.315628157333975,-1.5986498602174464
14,-15.955291861744278,-1.8904456483523449
15,-14.594955566154585,-2.029816480579892
16,-13.234619270564892,-2.0910128751488433
17,-11.874282974975198,-2.1288843392917296
18,-10.513946679385505,-2.1850385311096363
19,-9.153610383795808,-2.346276569303216
20,-7.793274088206115,-2.7393369963431473
21,-6.432937792616421,-3.164043982409987
22,-5.072601497026724,-3.351860715423275
23,-3.712265201437031,-3.409869878784252
24,-2.3519289058473376,-3.4421355281236226
25,-0.9915926102576407,-3.4938234367853003
26,0.36874368533204915,-3.5992004312956243
27,1.729079980921746,-3.767799800573501
28,3.089416276511443,-3.9399592494670723
29,4.449752572101133,-4.050110763277249
