point,x,y,z
profile1 0164,492.228,480.805,-0.917
profile1 0165,492.149,480.456,-0.93
profile1 0166,492.089,480.095,-0.936
profile1 0167,492.06,479.756,-0.948
profile1 0168,491.98,479.431,-0.973
profile1 0169,491.921,479.083,-0.984
profile1 0170,491.885,478.72,-0.999
profile1 0171,491.809,478.384,-1.018
profile1 0172,491.732,478.029,-1.036
profile1 0173,491.659,477.659,-1.054
profile1 0174,491.597,477.242,-1.065
profile1 0175,491.574,476.874,-1.079
profile1 0176,491.516,476.529,-1.097
profile1 0177,491.467,476.157,-1.108
profile1 0178,491.42,475.817,-1.113
profile1 0179,491.347,475.522,-1.12
profile1 0180,491.323,475.171,-1.139
profile1 0181,491.264,474.809,-1.163
profile1 0182,491.203,474.473,-1.164
profile1 0183,491.183,474.127,-1.172
profile1 0184,491.108,473.765,-1.193
profile1 0185,491.066,473.415,-1.198
profile1 0186,491.028,473.084,-1.205
profile1 0187,490.957,472.755,-1.207
profile1 0188,490.925,472.406,-1.226
profile1 0189,490.849,472.046,-1.238
profile1 0190,490.776,471.699,-1.248
profile1 0191,490.719,471.342,-1.256
profile1 0192,490.644,471.012,-1.261
profile1 0193,490.631,470.691,-1.286
profile1 0194,490.604,470.404,-1.296
profile1 0195,490.544,470.117,-1.295
profile1 0196,490.512,469.784,-1.306
profile1 0197,490.443,469.439,-1.318
profile1 0198,490.375,469.114,-1.32
profile1 0199,490.343,468.802,-1.33
profile1 0200,490.264,468.495,-1.338
profile1 0201,490.207,468.163,-1.347
profile1 0202,490.173,467.806,-1.354
profile1 0203,490.115,467.443,-1.365
profile1 0204,490.072,467.104,-1.375
profile1 0205,490.018,466.773,-1.384
profile1 0206,489.965,466.42,-1.391
profile1 0207,489.937,466.06,-1.405
profile1 0208,489.879,465.689,-1.416
profile1 0209,489.818,465.325,-1.399
profile1 0210,489.756,465.035,-1.398
profile1 0211,489.692,464.721,-1.407
profile1 0212,489.682,464.398,-1.417
profile1 0213,489.664,464.088,-1.429
profile1 0214,489.636,463.772,-1.438
profile1 0215,489.632,463.438,-1.445
profile1 0216,489.582,463.103,-1.458
profile1 0217,489.554,462.788,-1.462
profile1 0218,489.556,462.482,-1.469
profile1 0219,489.544,462.184,-1.482
profile1 0220,489.562,461.913,-1.488
profile1 0221,489.571,461.648,-1.493
profile1 0222,489.543,461.377,-1.501
profile1 0223,489.557,461.094,-1.511
profile1 0224,489.58,460.819,-1.516
profile1 0225,489.576,460.564,-1.521
profile1 0226,489.611,460.296,-1.53
profile1 0227,489.642,460.028,-1.533
profile1 0228,489.633,459.783,-1.542
profile1 0229,489.645,459.541,-1.547
profile1 0230,489.682,459.318,-1.546
profile1 0231,489.684,459.103,-1.553
profile1 0232,489.681,458.86,-1.553
profile1 0233,489.716,458.571,-1.57
profile1 0234,489.72,458.274,-1.576
profile1 0235,489.712,457.958,-1.578
profile1 0236,489.732,457.646,-1.594
profile1 0237,489.714,457.33,-1.598
profile1 0238,489.684,457.03,-1.593
profile1 0239,489.67,456.742,-1.601
profile1 0240,489.621,456.434,-1.615
profile1 0241,489.572,456.118,-1.617
profile1 0242,489.573,455.763,-1.633
profile1 0243,489.531,455.401,-1.646
profile1 0244,489.506,455.059,-1.65
profile1 0245,489.506,454.706,-1.659
profile1 0246,489.49,454.358,-1.66
profile1 0247,489.508,453.988,-1.671
profile1 0248,489.498,453.632,-1.691
profile1 0249,489.469,453.282,-1.698
profile1 0250,489.44,452.913,-1.708
profile1 0251,489.378,452.554,-1.722
profile1 0252,489.353,452.203,-1.728
profile1 0253,489.313,451.855,-1.742
profile1 0254,489.269,451.465,-1.75
profile1 0255,489.223,451.072,-1.762
profile1 0256,489.15,450.686,-1.765
profile1 0257,489.134,450.296,-1.78
profile1 0258,489.106,449.911,-1.796
profile1 0259,489.088,449.545,-1.803
profile1 0260,489.082,449.192,-1.808
profile1 0261,489.05,448.856,-1.81
profile1 0262,489.081,448.551,-1.819
profile1 0263,489.082,448.204,-1.836
profile1 0264,489.024,447.862,-1.842
profile1 0265,489.011,447.541,-1.86
profile1 0266,488.991,447.184,-1.878
profile1 0267,488.991,446.84,-1.876
profile1 0268,489.054,446.541,-1.901
profile1 0269,489.076,446.206,-1.937
profile1 0270,489.062,445.864,-1.947
profile1 0271,489.05,445.552,-1.958
profile1 0272,488.988,445.228,-1.989
profile1 0273,488.97,444.904,-1.995
profile1 0274,489.008,444.609,-2.004
profile1 0275,488.99,444.297,-2.026
profile1 0276,488.982,443.969,-2.039
profile1 0277,488.999,443.651,-2.046
profile1 0278,488.954,443.278,-2.054
profile1 0279,488.973,443.057,-2.078
profile1 0280,489.016,442.782,-2.07
profile1 0281,488.996,442.505,-2.099
profile1 0282,488.989,442.202,-2.114
profile1 0283,489.024,441.925,-2.115
profile1 0284,489.013,441.61,-2.132
profile1 0285,489.013,441.295,-2.109
profile1 0286,489.059,441.083,-2.109
profile1 0287,489.082,440.836,-2.124
profile1 0288,489.113,440.583,-2.132
profile1 0289,489.153,440.353,-2.135
profile1 0290,489.129,440.106,-2.147
profile1 0291,489.081,439.787,-2.143
profile1 0292,489.073,439.447,-2.14
profile1 0293,489.067,439.193,-2.129
profile1 0294,489.034,439.008,-2.113
profile1 0295,489.058,438.751,-2.132
profile1 0296,489.101,438.445,-2.112
profile1 0297,489.117,438.249,-2.106
profile1 0298,489.112,438.048,-2.112
profile1 0299,489.112,437.855,-2.111
profile1 0300,489.077,437.633,-2.119
profile1 0301,489.037,437.375,-2.112
profile1 0302,489.036,437.132,-2.119
profile1 0303,489.007,436.882,-2.112
profile1 0304,488.936,436.634,-2.123
profile1 0305,488.907,436.366,-2.125
profile1 0306,488.92,436.079,-2.117
profile1 0307,488.873,435.828,-2.12
profile1 0308,488.874,435.615,-2.126
profile1 0309,488.918,435.399,-2.116
profile1 0310,488.888,435.176,-2.123
profile1 0311,488.85,434.941,-2.114
profile1 0312,488.87,434.708,-2.121
profile1 0313,488.882,434.503,-2.11
profile1 0314,488.824,434.267,-2.118
profile1 0315,488.817,434.045,-2.107
profile1 0316,488.844,433.76,-2.111
profile1 0317,488.841,433.474,-2.112
profile1 0318,488.773,433.177,-2.107
