point,x,y,z
profile1 0702,482.387,356.286,-2.864
profile1 0703,482.304,356.012,-2.877
profile1 0704,482.158,355.79,-2.875
profile1 0705,482.004,355.599,-2.862
profile1 0706,481.905,355.35,-2.877
profile1 0707,481.705,355.065,-2.866
profile1 0708,481.585,354.94,-2.821
profile1 0709,481.613,354.815,-2.758
profile1 0710,481.702,354.982,-2.733
profile1 0711,481.745,355.063,-2.818
profile1 0712,481.744,354.897,-2.841
profile1 0713,481.769,354.699,-2.844
profile1 0714,481.782,354.435,-2.856
profile1 0715,481.683,354.201,-2.832
profile1 0716,481.707,354.073,-2.841
profile1 0717,481.647,353.949,-2.849
profile1 0718,481.509,353.774,-2.851
profile1 0719,481.331,353.462,-2.853
profile1 0720,481.18,353.267,-2.836
profile1 0721,481.141,353.097,-2.841
profile1 0722,481.175,352.877,-2.859
profile1 0723,481.072,352.623,-2.87
profile1 0724,481.02,352.28,-2.874
profile1 0725,481.047,352.098,-2.822
profile1 0726,481.007,351.974,-2.819
profile1 0727,480.936,351.814,-2.832
profile1 0728,480.979,351.601,-2.839
profile1 0729,480.963,351.397,-2.829
profile1 0730,480.912,351.146,-2.855
profile1 0731,480.843,350.91,-2.879
profile1 0732,480.855,350.643,-2.858
profile1 0733,480.774,350.474,-2.847
profile1 0734,480.749,350.325,-2.846
profile1 0735,480.805,350.111,-2.86
profile1 0736,480.797,349.848,-2.854
profile1 0737,480.751,349.549,-2.877
profile1 0738,480.697,349.253,-2.889
profile1 0739,480.639,348.917,-2.893
profile1 0740,480.521,348.677,-2.856
profile1 0741,480.477,348.499,-2.872
profile1 0742,480.475,348.3,-2.886
profile1 0743,480.419,348.062,-2.884
profile1 0744,480.315,347.87,-2.867
profile1 0745,480.253,347.755,-2.833
profile1 0746,480.314,347.668,-2.84
profile1 0747,480.303,347.546,-2.829
profile1 0748,480.345,347.382,-2.875
profile1 0749,480.339,347.21,-2.874
profile1 0750,480.317,347.028,-2.919
profile1 0751,480.249,346.71,-2.922
profile1 0752,480.202,346.542,-2.88
profile1 0753,480.313,346.39,-2.891
profile1 0754,480.319,346.114,-2.912
profile1 0755,480.347,345.869,-2.917
profile1 0756,480.334,345.646,-2.931
profile1 0757,480.209,345.409,-2.96
profile1 0758,480.139,345.145,-2.972
profile1 0759,480.125,344.828,-2.953
profile1 0760,480.06,344.64,-2.923
profile1 0761,480.027,344.362,-2.945
profile1 0762,479.994,344.07,-2.956
profile1 0763,479.91,343.8,-2.955
profile1 0764,479.871,343.548,-2.981
profile1 0765,479.815,343.214,-2.954
profile1 0766,479.745,343.001,-2.935
profile1 0767,479.723,342.831,-2.959
profile1 0768,479.743,342.676,-2.983
profile1 0769,479.809,342.566,-2.973
profile1 0770,479.851,342.43,-2.977
profile1 0771,479.735,342.257,-2.985
profile1 0772,479.642,342.161,-2.979
profile1 0773,479.63,342.065,-2.978
profile1 0774,479.553,341.927,-2.993
profile1 0775,479.506,341.841,-2.996
profile1 0776,479.436,341.695,-2.975
profile1 0777,479.364,341.549,-2.976
profile1 0778,479.234,341.437,-2.987
profile1 0779,479.112,341.307,-2.975
profile1 0780,479.126,341.172,-2.985
profile1 0781,479.111,341.064,-3.015
profile1 0782,479.066,340.93,-3.024
profile1 0783,479.034,340.842,-2.971
profile1 0784,479.082,340.703,-2.976
profile1 0785,479.13,340.522,-2.978
profile1 0786,479.082,340.306,-3.044
profile1 0787,478.993,340.072,-3.026
profile1 0788,478.937,339.866,-3.02
profile1 0789,478.952,339.67,-3.045
profile1 0790,478.908,339.437,-3.045
profile1 0791,478.859,339.179,-3.067
profile1 0792,478.832,338.931,-3.061
profile1 0793,478.811,338.626,-3.078
profile1 0794,478.775,338.33,-3.102
profile1 0795,478.746,338.024,-3.06
profile1 0796,478.777,337.767,-3.041
profile1 0797,478.821,337.59,-3.056
profile1 0798,478.88,337.398,-3.063
profile1 0799,478.862,337.154,-3.056
profile1 0800,478.897,336.964,-3.068
profile1 0801,478.912,336.859,-3.028
profile1 0802,478.993,336.864,-3.046
profile1 0803,479.07,336.825,-3.029
profile1 0804,479.097,336.648,-3.059
profile1 0805,479.09,336.446,-3.071
profile1 0806,479.046,336.206,-3.099
profile1 0807,479.002,336.017,-3.065
profile1 0808,478.884,335.874,-3.117
profile1 0809,478.728,335.811,-3.076
profile1 0810,478.633,335.695,-3.057
profile1 0811,478.644,335.58,-3.059
profile1 0812,478.724,335.464,-3.087
profile1 0813,478.807,335.226,-3.146
profile1 0814,478.751,335.012,-3.173
profile1 0815,478.657,334.879,-3.102
profile1 0816,478.597,334.779,-3.083
profile1 0817,478.568,334.608,-3.109
profile1 0818,478.561,334.432,-3.091
profile1 0819,478.606,334.291,-3.092
profile1 0820,478.635,334.114,-3.113
profile1 0821,478.632,333.941,-3.054
profile1 0822,478.716,333.776,-3.093
profile1 0823,478.813,333.56,-3.128
profile1 0824,478.836,333.358,-3.105
profile1 0825,478.809,333.184,-3.128
profile1 0826,478.772,332.949,-3.158
profile1 0827,478.778,332.63,-3.173
profile1 0828,478.668,332.342,-3.145
profile1 0829,478.561,332.202,-3.113
profile1 0830,478.592,332.027,-3.112
profile1 0831,478.634,331.81,-3.127
profile1 0832,478.604,331.627,-3.113
profile1 0833,478.619,331.492,-3.064
profile1 0834,478.665,331.493,-3.039
profile1 0835,478.758,331.569,-3.045
profile1 0836,478.785,331.587,-3.048
profile1 0837,478.841,331.552,-3.038
profile1 0838,478.922,331.495,-3.041
profile1 0839,478.918,331.429,-3.019
profile1 0840,478.998,331.38,-3.069
profile1 0841,478.898,331.242,-3.144
profile1 0842,478.842,331.01,-3.146
profile1 0843,478.803,330.854,-3.102
profile1 0844,478.772,330.702,-3.117
profile1 0845,478.631,330.431,-3.127
profile1 0846,478.5,330.313,-3.072
profile1 0847,478.471,330.189,-3.056
profile1 0848,478.53,330.062,-3.074
profile1 0849,478.503,329.854,-3.142
profile1 0850,478.35,329.587,-3.085
profile1 0851,478.247,329.368,-3.1
profile1 0852,478.123,329.165,-3.066
profile1 0853,478.049,329.048,-3.018
profile1 0854,478.08,328.952,-2.983
profile1 0855,478.092,328.871,-3.019
profile1 0856,478.012,328.766,-3.022
profile1 0857,477.95,328.656,-3.018
profile1 0858,477.949,328.553,-3.023
profile1 0859,477.96,328.45,-3.06
profile1 0860,477.966,328.291,-3.059
profile1 0861,477.976,328.086,-3.07
profile1 0862,477.883,327.844,-3.042
profile1 0863,477.839,327.648,-3.035
profile1 0864,477.822,327.384,-3.061
profile1 0865,477.798,327.114,-2.992
profile1 0866,477.808,326.954,-3.006
profile1 0867,477.824,326.757,-3.018
profile1 0868,477.728,326.475,-3.054
profile1 0869,477.528,326.173,-3.079
profile1 0870,477.441,325.894,-3.042
profile1 0871,477.338,325.619,-3.03
profile1 0872,477.235,325.385,-3.027
profile1 0873,477.193,325.165,-3.007
profile1 0874,477.258,325.034,-2.975
profile1 0875,477.275,324.978,-2.973
profile1 0876,477.135,324.862,-3.029
profile1 0877,477.065,324.754,-3.081
profile1 0878,477.108,324.58,-3.141
profile1 0879,476.993,324.36,-3.104
profile1 0880,476.937,324.193,-3.021
profile1 0881,476.977,324.03,-3.071
profile1 0882,476.887,323.854,-3.106
profile1 0883,476.744,323.624,-3.092
profile1 0884,476.666,323.401,-3.12
profile1 0885,476.542,323.173,-3.142
profile1 0886,476.454,322.934,-3.136
profile1 0887,476.483,322.794,-3.123
profile1 0888,476.456,322.635,-3.125
profile1 0889,476.34,322.469,-3.121
profile1 0890,476.266,322.29,-3.086
profile1 0891,476.176,322.159,-3.1
profile1 0892,476.053,322.075,-3.081
profile1 0893,475.914,322.07,-3.065
profile1 0894,475.83,322,-3.041
profile1 0895,475.783,322.04,-3.012
profile1 0896,475.769,322.161,-2.991
profile1 0897,475.739,322.247,-2.99
profile1 0898,475.728,322.248,-3.006
profile1 0899,475.699,322.097,-3.122
profile1 0900,475.607,321.931,-3.223
profile1 0901,475.572,321.846,-3.196
profile1 0902,475.612,321.677,-3.182
profile1 0903,475.559,321.518,-3.17
profile1 0904,475.522,321.365,-3.165
profile1 0905,475.504,321.219,-3.204
profile1 0906,475.44,320.945,-3.282
profile1 0907,475.395,320.742,-3.252
profile1 0908,475.33,320.576,-3.258
profile1 0909,475.306,320.47,-3.253
profile1 0910,475.277,320.338,-3.253
profile1 0911,475.245,320.183,-3.26
profile1 0912,475.209,320.027,-3.266
profile1 0913,475.203,319.928,-3.261
profile1 0914,475.18,319.756,-3.233
profile1 0915,475.195,319.758,-3.182
profile1 0916,475.237,319.823,-3.104
profile1 0917,475.322,319.976,-3.018
profile1 0918,475.354,320.075,-2.966
profile1 0919,475.39,320.222,-2.843
profile1 0920,475.683,320.454,-2.864
profile1 0921,476.314,320.743,-3.05
profile1 0922,476.919,320.769,-3.188
profile1 0923,477.461,320.563,-3.212
