,x,z
0,-120.0,-0.047235147137967545
1,-118.29893162207846,-0.06456732081598081
2,-116.5978632441569,-0.07669567180424622
3,-114.89679486623535,-0.09498900092391163
4,-113.1957264883138,-0.1271916719033319
5,-111.49465811039225,-0.17019932389829173
6,-109.79358973247069,-0.20930546445804318
7,-108.09252135454915,-0.23910689138516628
8,-106.39145297662759,-0.2639238213702485
9,-104.69038459870605,-0.29472370053935837
10,-102.9893162207845,-0.3423257693388405
11,-101.28824784286294,-0.4062905235160259
12,-99.58717946494139,-0.48011995500849824
13,-97.88611108701984,-0.5570904286888584
14,-96.1850427090983,-0.6335837363122252
15,-94.48397433117674,-0.7078368015884627
16,-92.7829059532552,-0.7775794683355437
17,-91.08183757533364,-0.8471650300999471
18,-89.38076919741209,-0.9175860769378013
19,-87.67970081949053,-0.9842405675172448
20,-85.97863244156899,-1.0498033701807623
21,-84.27756406364745,-1.1170624325562648
22,-82.57649568572589,-1.181097699881285
23,-80.87542730780433,-1.2351273181796696
24,-79.17435892988279,-1.2807364557455216
25,-77.47329055196124,-1.328544625269436
26,-75.77222217403968,-1.384624582585725
27,-74.07115379611814,-1.4374741312405273
28,-72.3700854181966,-1.4809498639135812
29,-70.66901704027504,-1.5217520474792563
30,-68.96794866235348,-1.5651202266635784
31,-67.26688028443193,-1.6109614951477165
32,-65.56581190651039,-1.6530063152045509
33,-63.86474352858883,-1.6920200509564942
34,-62.16367515066728,-1.7413237546317228
35,-60.46260677274573,-1.781615144501059
36,-58.76153839482418,-1.7948705712195
37,-57.06047001690263,-1.799778157790874
38,-55.35940163898108,-1.80392334887129
39,-53.658333261059525,-1.812230927062066
40,-51.95726488313798,-1.835943487146092
41,-50.25619650521642,-1.8662007559610299
42,-48.55512812729488,-1.8889689402109935
43,-46.854059749373334,-1.9196913333918333
44,-45.152991371451776,-1.9559639586814144
45,-43.45192299353023,-1.9801799475049573
46,-41.750854615608674,-1.9888367897711492
47,-40.04978623768713,-1.9867361091531657
48,-38.34871785976557,-1.9808995845715764
49,-36.64764948184403,-1.9796237300734183
50,-34.94658110392247,-1.9794876267685884
51,-33.245512726000925,-1.987126931985637
52,-31.544444348079367,-2.007121434163741
53,-29.843375970157823,-2.0216144715413207
54,-28.14230759223628,-2.037041539806805
55,-26.44123921431472,-2.077308779219207
56,-24.740170836393176,-2.1344050682428066
57,-23.039102458471618,-2.1686171108887184
58,-21.338034080550074,-2.1793517497169024
59,-19.636965702628515,-2.1874975275440036
60,-17.93589732470697,-2.184945548918722
61,-16.234828946785413,-2.175848593712501
62,-14.533760568863869,-2.179702998055667
63,-12.83269219094231,-2.189648427554916
64,-11.131623813020767,-2.1989530169589897
65,-9.430555435099222,-2.221531788943132
66,-7.729487057177664,-2.2570341703362073
67,-6.02841867925612,-2.2790916291997476
68,-4.327350301334562,-2.2763424361235636
69,-2.6262819234130177,-2.2676966334104085
70,-0.9252135454914594,-2.2695057206935085
71,0.7758548324300847,-2.2778454722425607
72,2.476923210351643,-2.2861222812250297
73,4.177991588273187,-2.2920705840739894
74,5.879059966194745,-2.2940850294223716
75,7.580128344116289,-2.2951122818078016
76,9.281196722037834,-2.2996538356482827
77,10.982265099959392,-2.3091528090657802
78,12.68333347788095,-2.321488609675459
79,14.38440185580248,-2.3310741866061666
80,16.08547023372404,-2.333581569099405
81,17.786538611645597,-2.3328929861830927
82,19.487606989567155,-2.3306188799949332
83,21.188675367488685,-2.3257549656961705
84,22.889743745410243,-2.3228243269021855
85,24.5908121233318,-2.3277746527171557
86,26.29188050125333,-2.340104286569469
87,27.99294887917489,-2.3517968843898682
88,29.694017257096448,-2.3585962321175407
89,31.395085635018006,-2.362892415455142
90,33.096154012939536,-2.3718958142194038
91,34.797222390861094,-2.3902172787092013
92,36.49829076878265,-2.4155685841555408
93,38.19935914670421,-2.4422433065703806
94,39.90042752462574,-2.457948892724162
95,41.6014959025473,-2.470541743592398
96,43.30256428046886,-2.491533493380156
97,45.00363265839039,-2.520530504008707
98,46.704701036311945,-2.5495082075604034
99,48.405769414233504,-2.5688344286591653
