datetime,time,shoreline,upper_ci,lower_ci
2016-12-20 10:52:04.038701,124.06223660232234,10.835463591617879,11.614940073734898,10.05598710950086
2016-12-20 10:52:04.288701,124.31232054953729,10.776465348910111,11.55594183102713,9.996988866793092
2016-12-20 10:52:04.538701,124.56240449675224,10.797033391508322,11.57650987362534,10.017556909391303
2016-12-20 10:52:04.788701,124.81248844396718,10.876463589184706,11.655940071301725,10.096987107067687
2016-12-20 10:52:05.038701,125.06257239118213,10.996365211797594,11.775841693914613,10.216888729680575
2016-12-20 10:52:05.288701,125.31265633839708,11.146042922335965,11.925519404452984,10.366566440218946
2016-12-20 10:52:05.538701,125.56274028561202,11.323022528344232,12.102499010461251,10.543546046227213
2016-12-20 10:52:05.788701,125.81282423282697,11.527976137196465,12.307452619313484,10.748499655079446
2016-12-20 10:52:06.038701,126.06290818004192,11.761007737221126,12.540484219338145,10.981531255104107
2016-12-20 10:52:06.288701,126.31299212725686,12.022552282217855,12.802028764334874,11.243075800100836
2016-12-20 10:52:06.538701,126.56307607447181,12.315697651922017,13.095174134039036,11.536221169804998
2016-12-20 10:52:06.788701,126.81316002168676,12.6443745450708,13.423851027187819,11.864898062953781
2016-12-20 10:52:07.038701,127.0632439689017,13.006700617633516,13.786177099750535,12.227224135516497
2016-12-20 10:52:07.288701,127.31332791611665,13.39279076503613,14.17226724715315,12.613314282919111
2016-12-20 10:52:07.538701,127.5634118633316,13.794007384768845,14.573483866885864,13.014530902651826
2016-12-20 10:52:07.788701,127.81349581054654,14.21204486429356,14.991521346410579,13.432568382176541
2016-12-20 10:52:08.038701,128.0635797577615,14.6554901729752,15.43496665509222,13.876013690858182
2016-12-20 10:52:08.288701,128.31366370497642,15.131169777146145,15.910646259263164,14.351693295029126
2016-12-20 10:52:08.538701,128.56374765219138,15.642863972165774,16.422340454282793,14.863387490048755
2016-12-20 10:52:08.788701,128.8138315994063,16.194639489650513,16.97411597176753,15.415163007533494
2016-12-20 10:52:09.038701,129.06391554662127,16.786083827139336,17.565560309256355,16.006607345022317
2016-12-20 10:52:09.288701,129.3139994938362,17.401511333281306,18.180987815398325,16.622034851164287
2016-12-20 10:52:09.538701,129.56408344105117,18.014187239568145,18.793663721685164,17.234710757451126
2016-12-20 10:52:09.788701,129.8141673882661,18.613214924356818,19.392691406473837,17.8337384422398
2016-12-20 10:52:10.038701,130.06425133548106,19.22276392229893,20.00224040441595,18.443287440181912
2016-12-20 10:52:10.288701,130.314335282696,19.88196396751893,20.66144044963595,19.102487485401912
2016-12-20 10:52:10.538701,130.56441922991095,20.597263359019948,21.376739841136967,19.81778687690293
2016-12-20 10:52:10.788701,130.81450317712589,21.32139316354037,22.10086964565739,20.541916681423352
2016-12-20 10:52:11.038701,131.06458712434085,21.99341262372996,22.77288910584698,21.21393614161294
2016-12-20 10:52:11.288701,131.31467107155578,22.58506590894846,23.36454239106548,21.805589426831443
