,time,intersection,surfzone_position,shoreline_position,n_waves,wave_id
0,41.22527449624119,38.18026065891457,66.5218288068772,37.36221201697957,35.0,3.0
1,41.22527449624119,38.18026065891457,66.5218288068772,37.36221201697957,35.0,4.0
2,59.40359641320818,45.31908633532832,70.31723537560593,43.49291791642365,35.0,5.0
3,59.40359641320818,45.31908633532832,70.31723537560593,43.49291791642365,35.0,6.0
4,94.48027060661443,40.02277713517414,57.7873639663933,39.713102459442624,35.0,10.0
5,119.40550997056005,41.02217525034803,64.48895402347183,40.41613645747771,35.0,13.0
6,119.40550997056005,41.02217525034803,64.48895402347183,40.41613645747771,35.0,14.0
7,145.1796545447267,38.830629416481386,73.88152407126849,38.3614568882066,35.0,17.0
8,220.57479241300678,42.371361575376085,65.39734453726355,41.5092542049076,35.0,24.0
9,274.4472923094685,41.782434423822345,54.02259154971547,39.63232492742611,35.0,30.0
10,288.8653889747682,34.595765008316,72.00689037534902,34.168270769219866,35.0,32.0
