,time,intersection,surfzone_position,shoreline_position,n_waves,wave_id
0,27.36083987990702,46.33880420830193,103.86770609098343,39.384852822912165,37.0,3.0
1,27.36083987990702,46.33880420830193,103.86770609098343,39.384852822912165,37.0,4.0
2,50.215635600821486,54.345722366911644,118.13540250202975,37.97284075417068,37.0,6.0
3,55.94216983307237,47.82773015764671,117.92431989691731,46.1630826449279,37.0,7.0
4,58.332613526674244,43.65239554183012,117.97335272011787,43.41532927799243,37.0,8.0
5,58.332613526674244,43.65239554183012,117.97335272011787,43.41532927799243,37.0,9.0
6,79.32624593912443,44.74218483129263,108.8355910160275,37.218256607189915,37.0,11.0
7,101.34721110747371,49.979257711542594,108.78540483621266,47.852218864472675,37.0,14.0
8,189.2558453124527,39.31513667655063,116.10400343012803,39.06561344465063,37.0,21.0
9,188.80562047396984,39.95148941017462,116.06620708361815,39.41032961605715,37.0,22.0
10,233.6407985517439,39.70550845723649,116.00499163172185,40.010635014785706,37.0,26.0
11,258.691794831463,48.27569771145945,117.90082228458921,48.32281103066487,37.0,30.0
12,258.691794831463,48.27569771145945,117.90082228458921,48.32281103066487,37.0,31.0
13,290.9064379482671,55.51683878236988,121.01034692065927,50.41838717319925,37.0,34.0
