,time,intersection,surfzone_position,shoreline_position,n_waves,wave_id
0,22.983030250500857,80.35814484127766,118.75934176800527,41.36903410354705,36.0,0.0
1,22.983030250500857,80.35814484127766,118.75934176800527,41.36903410354705,36.0,3.0
2,33.10604431075326,83.5168695374295,105.14376008265405,35.864641914232834,36.0,5.0
3,33.10604431075326,83.5168695374295,105.14376008265405,35.864641914232834,36.0,6.0
4,126.37802030210538,51.259940634960806,113.55700718809138,37.16834468767128,36.0,15.0
5,126.36133533215256,51.31094851471252,113.55700718809138,37.16834468767128,36.0,16.0
6,126.37802030210538,51.259940634960806,113.55700718809138,37.16834468767128,36.0,17.0
7,126.36133533215256,51.31094851471252,113.55700718809138,37.16834468767128,36.0,17.0
8,173.74469749931058,47.18219089043157,100.83940046399755,30.559856139985254,36.0,21.0
9,173.74469749931058,47.18219089043157,100.83940046399755,30.559856139985254,36.0,22.0
10,259.6517247265449,31.124549649702622,115.85109323454178,30.715633375036546,36.0,29.0
